5	34325
6	27537
7	29787
8	29591
9	42333
10	42937
11	44850
12	48191
13	76329
14	105920
15	105283
16	123029
17	102366
18	119079
19	116937
20	145483
21	165612
22	333129
23	220637
24	155808
25	200866
26	195233
27	184237
28	236475
29	304045
30	299645
31	307458
32	356966
33	450745
34	449654
35	428500
36	477604
37	633458
38	748183
39	681258
40	753495
41	1116979
42	466583
43	541820
44	574341
45	613487
46	826862
47	1202500
48	904662
49	790620
50	997095
51	1006254
52	1093633
53	1175820
54	1272187
55	1312029
56	1655908
57	1561229
58	1700070
59	1869641
60	2220291
61	2113037
62	2266129
63	3120520
64	2524604
65	4382233
66	2840562
67	4453608
68	3098945
69	4612904
70	3633441
71	3921383
72	4014887
73	4147212
74	4565504
75	5543487
76	7051704
77	5230875
78	6239358
79	6044083
80	7161145
81	6396258
82	7282516
83	7525012
84	7890350
85	7592320
86	7875462
87	9438891
88	10498512
89	10355604
90	10628433
91	10056637
92	10510441
93	12221466
94	11634179
95	11556516
96	12963445
97	12642087
98	13317095
99	13996712
100	15522412
