5	66787
6	66412
7	100075
8	69975
9	92862
10	109950
11	132487
12	165125
13	206462
14	258425
15	305000
16	349750
17	394600
18	469850
19	262550
20	245712
21	274350
22	341275
23	329787
24	379462
25	417462
26	438475
27	663787
28	763400
29	876837
30	860487
31	565237
32	1106262
33	1576275
34	1041637
35	1107237
36	790075
37	574887
38	820125
39	615912
40	815250
41	860250
42	756512
43	881775
44	829025
45	870837
46	1243412
47	1218050
48	1063662
49	1307825
50	1183312
51	1207450
52	1425425
53	1365450
54	1565212
55	1502237
56	2145050
57	1749125
58	1814062
59	1812675
60	1912162
61	2430012
62	2081012
63	2762487
64	2516050
65	3189387
66	2560612
67	3480525
68	2837012
69	2860100
70	2895887
71	3018362
72	3179062
73	3469625
74	3451200
75	4530850
76	6926162
77	4163050
78	4478200
79	4109550
80	4641212
81	4398625
82	4957000
83	4814675
84	5194312
85	5409700
86	6132362
87	5390800
88	6288775
89	7023225
90	5857312
91	7017950
92	6298300
93	6773287
94	6742387
95	6887237
96	8494975
97	7234750
98	9551050
99	7818162
100	8094150
