5	20716
6	16012
7	29625
8	12750
9	23437
10	19925
11	20979
12	22258
13	29525
14	75450
15	35316
16	42891
17	51416
18	48925
19	40933
20	50591
21	42812
22	62366
23	58608
24	83779
25	84625
26	91204
27	76070
28	99933
29	177704
30	163887
31	139829
32	117970
33	460520
34	220195
35	159425
36	264733
37	330033
38	179366
39	184091
40	206662
41	199925
42	238195
43	248075
44	209708
45	267141
46	306416
47	280566
48	383366
49	315766
50	292433
51	353595
52	556950
53	403216
54	688575
55	537362
56	582262
57	427383
58	558437
59	587995
60	539325
61	822041
62	671795
63	1092325
64	550020
65	1172775
66	953750
67	1415741
68	1163650
69	1303066
70	1115837
71	904366
72	1071895
73	1144008
74	1410045
75	1422979
76	1815804
77	1530529
78	2387641
79	1669979
80	1700100
81	1737933
82	2961120
83	2241679
84	3124608
85	1731537
86	2663466
87	2120237
88	3329633
89	3633895
90	2817975
91	2673345
92	3127983
93	3171087
94	2818337
95	2765787
96	4340458
97	2953808
98	3998750
99	2803054
100	4428829
